Date;Uplink;Downlink;RTT;Delay;Availebility;Jitter
2023-27-04 21:09:44;75657418.88681269;707570334.7802312;16.331;16.331;16.331;16.331
2023-27-04 21:20:24;123543293.7962476;456948849.38292456;14.146;14.146;14.146;14.146
2023-27-04 21:31:04;123540077.91526812;697901493.0110519;14.312;14.312;14.312;14.312
2023-02-05 10:24:26;124734867.300179;784387213.6671885;7.253;7.253;7.253;7.253
2023-02-05 10:45:27;114094980.07781172;788674705.8598579;19.15;19.15;19.15;19.15
2023-02-05 10:56:08;125555095.33054702;791020171.79332;11.646;11.646;11.646;11.646
2023-02-05 11:06:48;77355112.56830922;713580832.2197088;9.304;9.304;9.304;9.304
2023-02-05 11:17:28;112349737.19652456;142257239.86721286;8.334285714285715;8.334285714285715;8.334285714285715;8.334285714285715
2023-02-05 11:28:09;124480293.43111724;778718999.2180146;6.815;6.815;6.815;6.815
2023-02-05 11:38:48;80153620.88903883;793666957.0353032;7.348;7.348;7.348;7.348
2023-02-05 11:49:28;122686285.28690726;790170552.4586905;9.851428571428572;9.851428571428572;9.851428571428572;9.851428571428572
2023-02-05 12:00:09;115241552.60098556;613145713.7844393;9.234;9.234;9.234;9.234
2023-02-05 12:10:49;77471147.54548532;792385685.6434764;12.808;12.808;12.808;12.808
2023-02-05 12:21:28;120510425.36970767;795507635.2902657;9.861428571428572;9.861428571428572;9.861428571428572;9.861428571428572
2023-02-05 12:32:09;110598125.9816996;787271318.5758317;7.654;7.654;7.654;7.654
2023-02-05 12:42:49;71887116.96142487;771044463.6492165;6.99;6.99;6.99;6.99
2023-02-05 12:53:29;123833565.9935593;798885965.3313206;7.441428571428571;7.441428571428571;7.441428571428571;7.441428571428571
2023-02-05 13:04:10;123754610.19597337;777994804.9713262;7.2;7.2;7.2;7.2
2023-02-05 13:14:50;78563640.75491847;802100840.9753809;7.397;7.397;7.397;7.397
2023-02-05 13:25:29;113743628.7592034;786796975.7181714;7.3914285714285715;7.3914285714285715;7.3914285714285715;7.3914285714285715
2023-02-05 13:36:10;124798922.6475983;775629136.2848927;7.38;7.38;7.38;7.38
2023-02-05 13:46:50;70258852.84007704;800076796.981405;8.439;8.439;8.439;8.439
2023-02-05 13:57:29;113953245.41526444;697964364.7666754;10.842857142857143;10.842857142857143;10.842857142857143;10.842857142857143
2023-02-05 14:08:10;125460274.47034462;755209978.770925;11.386;11.386;11.386;11.386
2023-02-05 14:18:50;70851915.09521203;119196837.93458427;13.232;13.232;13.232;13.232
2023-02-05 14:29:30;113940592.98476592;788487633.1648302;11.595;11.595;11.595;11.595
2023-02-05 14:40:11;116567805.35460985;778665363.5701897;7.54;7.54;7.54;7.54
2023-02-05 14:50:50;69446714.81181191;754039406.0659635;11.95;11.95;11.95;11.95
2023-02-05 15:01:30;98816398.55522932;758115422.7389574;11.5825;11.5825;11.5825;11.5825
2023-02-05 15:12:11;89179274.21520226;755729592.4817923;7.21;99.8;1.0;173.0
